ID	name	health	defense	KO	exhaust	GRank
0	Village 5 The Dark Age	2184	1	1	1	
1	Village 5 Garuga of the Hills	2184	1	1	1	
2	Village 6 Advanced: Sly Swooper	3318	0.85	1.3	1.5	
3	Village 6 Advanced: Might is Right	2940	0.85	1.3	1.6	
4	Village 8 Wrong Bird, Idiots...	4074	0.95	1.1	1.2	
5	Village 9 A Jungle Just for You	3318	0.95	1.3	1.3	
6	Village 10 Coalition of Chaos	3444	0.95	1.3	1.4	
7	Village 10 Advanced: Jurassic Pair	5460	0.8	1.3	1.75	
8	Hub 2 In Search of the Yian Garuga	2814	0.95	1.1	1.2	
9	Hub 5 Worst. Trip. Ever!	4704	0.85	1.3	1.5	
10	Hub 5 Status: Effected	3570	0.85	1.3	1.5	
11	Hub 6 A Hollow Defense	3948	0.85	1.3	1.6	
12	*Hub 6 Warning: Hyper Yian Garuga!*	6342	0.8	1.3	1.75	
13	Hub 7 Wyvern's Way	4200	0.85	1.3	1.6	
14	Hub 7 The Flames of War	3948	0.85	1.3	1.6	
15	*Hub 7 The Descending Fog*	5082	0.85	1.3	1.6	
16	*Hub 7 The Birds of Prey*	5082	0.85	1.3	1.6	
17	Hub G3 The Unapproachable Yian Garuga	9366	0.8	1.5	1.9	G
18	Hub G3 Hunt-a-Thon: Yian Garuga	7224	0.8	1.5	1.9	G
19	Hub G3 Hunt-a-Thon: Yian Garuga	7727	0.8	1.5	1.9	G
20	Hub G4 Verdant Hills Missive	7350	0.8	1.5	2	G
21	*Hub G4 Garuga's Comeuppance*	16170	0.75	2	2.5	G
22	Silverwind G3: Hunt	8232	0.75	1.5	2.1	G
23	Deadeye IV: Hunt	4200	0.85	1.3	1.6	
24	Grudge Match: Yian Garuga	4200	0.85	1.1	1.4	
25	Hub 1 DLC Crows: The Black Crows	4200	0.85	1.3	1.6	
26	*Hub 1 DLC Metroid: Special Mission*	9240	0.8	1.5	1.9	
27	Village 6 Advanced: Sly Swooper (Gen)	3318	0.85	1.2	1.5	
28	Hub 2 In Search of the Yian Garuga (Gen)	2814	0.95	1	1.2	
29	Hub 5 Worst. Trip. Ever! (Gen)	4704	0.85	1.2	1.5	
30	Hub 5 Status: Effected (Gen)	3570	0.85	1.2	1.5	
31	Hub 6 A Hollow Defense (Gen)	3948	0.85	1.25	1.6	
32	*Hub 6 Warning: Hyper Yian Garuga! (Gen)*	7098	0.8	1.7	1.7	
33	Hub 7 The Flames of War (Gen)	3948	0.85	1.25	1.6	
34	*Hub 7 The Descending Fog (Gen)*	5964	0.85	1.6	1.65	
35	*Hub 7 The Birds of Prey (Gen)*	5964	0.85	1.6	1.65	
36	*Hub 1 DLC Metroid: Special Mission (Gen)*	9240	0.8	2.1	1.9	
